,Location,Life span,Overweight(%),High Blood Glucose(%),High Blood Pressure(%),High Cholesterol(%),NCD death probability(%),Malignant neoplasms death(%),Diabetes mellitus death(%),Cardiovascular death(%),Chronic obstructive pulmonary death(%)
0,Afghanistan,62.69,23 [18.5-27.8],11.9 [8.1-16.5],30.6 [23.6-38.3],21.9 [11-36.5],29.8,0.05642535737755401,0.019941764170098727,0.14482649704259343,0.018978025283760337
1,Albania,76.37,57.7 [52.7-62.5],7.4 [4.7-11.1],29 [22.4-36.2],45.3 [29.8-61],17.0,0.17800554110670389,0.005820344668339092,0.5172484874898966,0.030730034052480797
2,Algeria,76.36,62 [57.4-66.6],12.4 [8.9-16.9],25.1 [19.4-31.5],39.4 [26.2-53.3],14.2,0.06205951272012866,0.020689792248346158,0.17058104877173408,0.014709727146768159
3,Angola,62.63,27.5 [22.1-33.3],8.2 [4.8-13.5],29.7 [22.1-38.3],30.9 [15.2-50],16.5,0.029314398115945772,0.008248249925231816,0.07815208136387151,0.012488523005752417
4,Antigua and Barbuda,75.0,48 [42.1-54],11.5 [7-17.5],23.4 [16.6-31.1],43 [25.1-61.5],22.6,0.14176893779094374,0.05607278882776132,0.2242911553110453,0.02962336013542108
5,Argentina,76.95,62.7 [58.1-67.2],9.7 [6.2-13.9],22.6 [17-28.9],50.5 [33.2-67.9],15.8,0.15090628698203262,0.021221160694291655,0.20921908541968817,0.07912254488259397
6,Armenia,74.84,54.4 [49.4-59.2],11.5 [7.5-16.3],25.5 [18.7-32.8],40.8 [23.4-59],22.3,0.2708651848834544,0.03722565661732877,0.4185076564627043,0.039371325754466655
7,Australia,82.9,64.5 [60.9-68],5.9 [4-8.2],15.2 [11.5-19.4],55.2 [43.6-66.3],9.1,0.18855684299074588,0.019593854107805765,0.18152135519898643,0.04837876725229787
8,Austria,81.87,54.3 [49.6-58.6],4.3 [2.7-6.4],21 [15.7-27.1],59.7 [43.6-74.1],11.4,0.23891927411708241,0.038891974283282185,0.37745335535306523,0.04696303067481576
9,Azerbaijan,73.08,53.6 [48.1-58.8],12.3 [8.2-17.3],24.5 [18.1-32],34.8 [19.2-52.7],22.2,0.10410802501756104,0.015149895116505777,0.33268142564313363,0.01962810140179155
10,Bahamas,75.7,64.4 [59.1-69.4],12.5 [7.9-18.4],20.9 [15.1-27.9],51.8 [34.2-68.3],15.5,0.14076941599214654,0.03148789568245383,0.19236722824490704,0.01058416661595087
11,Bahrain,79.06,65.8 [61-70.4],11.5 [7.8-16.1],21.4 [15.7-27.8],53.4 [36.6-69.2],11.3,0.031982202185029666,0.028335108953403475,0.05435571643289033,0.00673309519684835
12,Bangladesh,72.66,20 [16.5-23.9],9.8 [6.6-13.7],24.7 [19.1-30.6],25.7 [13.4-41.9],21.6,0.06305975222961199,0.017765227327083525,0.16303307052296445,0.052091710401841594
13,Barbados,75.59,52.4 [46.9-58],12.2 [7.7-17.8],24.4 [18-31.5],42.8 [25.7-60.2],16.2,0.2561249553880713,0.10007067929096776,0.3313529135963163,0.03988831272437176
14,Belarus,74.16,59.4 [54.3-64.4],7.8 [4.6-11.8],27.1 [20.3-34.2],51.1 [31.3-69.5],23.7,0.19911836553549903,0.004277106533195534,0.7797885119035898,0.02299474106460569
15,Belgium,81.16,59.5 [55.5-63.3],4.6 [2.9-6.6],17.5 [12.9-23],62.4 [46.2-76.3],11.4,0.2537076572999365,0.014822438547429206,0.27269587922997657,0.07616425939285074
16,Belize,70.45,54.8 [49.4-60.2],12.7 [8.1-18.5],22.7 [16.6-29.7],34 [19-50.7],22.1,0.07790466315055145,0.04343117109438408,0.13952263714070884,0.01764391325709353
17,Benin,61.09,29.5 [25.3-33.9],7.2 [4.6-10.5],27.7 [21.7-34.2],20.3 [13.9-28.1],19.6,0.036037288936276356,0.013934786303843464,0.12346312643992792,0.021900149299967843
18,Bhutan,70.57,27.1 [22.6-32.1],11.8 [8.1-16],28.1 [21.9-34.6],31.6 [21.5-42.8],23.3,0.06216862629054195,0.028098047253585556,0.18053334708825503,0.056874791300735986
19,Bolivia (Plurinational State of),71.5,56.1 [50.7-61.5],8 [4.7-12.2],17.9 [12.5-24.1],36.2 [20.3-54],17.2,0.07204612257159335,0.025988454128429556,0.15144370530996604,0.029949721813858125
20,Bosnia and Herzegovina,77.29,53.3 [48.4-58.1],7.4 [4.7-10.8],30.8 [24.5-37.6],39.2 [22.8-57.2],17.8,0.21445469533819436,0.0753633134815577,0.5988607500362495,0.042761002320256876
21,Botswana,66.05,43.4 [38.1-48.4],8.6 [5.6-12.3],29.6 [23.4-36.4],37.9 [20.3-57.3],20.3,0.050881396344780484,0.04523305207356736,0.13472690023959163,0.028334317163790406
22,Brazil,75.14,56.5 [52.3-60.7],8.3 [5.3-12.1],23.3 [18.1-28.8],44.2 [29.7-58.8],16.6,0.1134301191189172,0.03171324740161011,0.17901946505876395,0.041107753078708724
23,Brunei Darussalam,76.43,41.2 [36.1-46.5],9.4 [5.9-13.7],18.9 [13.5-25.2],55.2 [38-70.9],16.6,0.09576193867900931,0.033349928893187324,0.11243690312560298,0.023583164003039607
24,Bulgaria,74.84,61.7 [56.9-66.3],7.6 [4.8-11.3],28.4 [21.7-35.5],49.9 [32.3-67.1],23.6,0.2707933558801042,0.022161794241233296,0.9484269180928049,0.06448592747038988
25,Burkina Faso,60.32,23.2 [19.3-27.3],6.3 [3.9-9.4],32.6 [25.3-40.1],17.7 [8.5-30.5],21.7,0.03918729402805375,0.011289072660332989,0.10928144113995501,0.012956959404923755
26,Burundi,60.1,22.2 [18.1-26.7],4.2 [2.4-6.7],29.2 [22-37.7],18.9 [8.6-33.9],22.9,0.06278602921700435,0.011927915345553899,0.1056349912976752,0.019117082548229872
27,Cabo Verde,73.17,34.8 [29.8-40],8.5 [5.5-12.4],29.5 [22.6-36.8],24.5 [16.6-33.7],17.2,0.05836502617012464,0.025228753247731293,0.1993824603682645,0.021463267688368416
28,Cambodia,69.37,21.7 [17.9-25.8],7.1 [4.6-10.4],26.1 [19.6-33],30 [21.9-38.7],21.1,0.08287935842864744,0.013903080559852699,0.14293787568286515,0.024209880701166857
29,Cameroon,58.06,33.6 [29.2-38.2],6.7 [4.2-9.9],24.8 [18.8-31.8],21.9 [11.3-36.2],21.6,0.04838140260009917,0.019087583420408852,0.11962861840209385,0.022247253458908763
30,Canada,82.81,64.1 [60.5-67.6],5.5 [3.6-7.9],13.2 [9.4-17.7],53.4 [37.2-69.1],9.8,0.2152272347849165,0.019077621595306942,0.17503532287191068,0.05115034402660455
31,Central African Republic,53.04,26.2 [21.1-31.6],7.8 [4.6-12.7],31.2 [23.3-39.5],22.2 [9.8-39],23.1,0.05282431584577415,0.014148189725901964,0.15023085570323005,0.0244397856791671
32,Chad,54.26,23.1 [19.2-27.3],7 [4.3-10.6],32.9 [25.7-40.6],17.9 [8.6-30.9],23.9,0.03656863799438223,0.012690862537768707,0.1209683677504306,0.02141239685755564
